    Finished `release` profile [optimized] target(s) in 0.04s
     Running `target/release/train_dmc --num-envs 256 --steps 20000000 --batch-size 1024 --train-freq 4 --eval-freq 1000000 --eval-random-matches 100 --eval-naive-matches 0 --eval-smart-matches 0 --save-freq 500000 --pool-frac 0`
Device: CUDA
Envs: 256, Steps: 20000000, LR: 0.0003, Hidden: 1024
Training: batch=1024, freq=4
PER: alpha=0.6, beta=0.4->1
Opponents: 90% self, 0% pool, 10% random

      Step |   Eps |  Beta |  Buffer |     Loss | Episodes | Steps/s
------------------------------------------------------------------------
     10000 | 0.250 | 0.400 | 1403378 |   0.0725 |    68749 |     427
     20000 | 0.249 | 0.401 | 2000000 |   0.0607 |   137624 |     432
     30000 | 0.249 | 0.401 | 2000000 |   0.0580 |   206480 |     452
     40000 | 0.249 | 0.401 | 2000000 |   0.0547 |   275342 |     446
     50000 | 0.249 | 0.401 | 2000000 |   0.0534 |   344217 |     418
     60000 | 0.248 | 0.402 | 2000000 |   0.0528 |   413099 |     446
     70000 | 0.248 | 0.402 | 2000000 |   0.0520 |   481958 |     421
     80000 | 0.248 | 0.402 | 2000000 |   0.0511 |   550824 |     424
     90000 | 0.247 | 0.403 | 2000000 |   0.0502 |   619678 |     414
    100000 | 0.247 | 0.403 | 2000000 |   0.0498 |   688561 |     427
    110000 | 0.247 | 0.403 | 2000000 |   0.0494 |   757432 |     426
    120000 | 0.246 | 0.404 | 2000000 |   0.0488 |   826301 |     427
    130000 | 0.246 | 0.404 | 2000000 |   0.0484 |   895160 |     418
    140000 | 0.246 | 0.404 | 2000000 |   0.0473 |   964025 |     419
    150000 | 0.246 | 0.404 | 2000000 |   0.0467 |  1032886 |     424
    160000 | 0.245 | 0.405 | 2000000 |   0.0467 |  1101753 |     448
    170000 | 0.245 | 0.405 | 2000000 |   0.0460 |  1170626 |     446
    180000 | 0.245 | 0.405 | 2000000 |   0.0459 |  1239485 |     449
    190000 | 0.244 | 0.406 | 2000000 |   0.0459 |  1308329 |     447
    200000 | 0.244 | 0.406 | 2000000 |   0.0453 |  1377204 |     449
    210000 | 0.244 | 0.406 | 2000000 |   0.0454 |  1446085 |     451
    220000 | 0.243 | 0.407 | 2000000 |   0.0452 |  1514963 |     448
    230000 | 0.243 | 0.407 | 2000000 |   0.0452 |  1583828 |     445
    240000 | 0.243 | 0.407 | 2000000 |   0.0451 |  1652689 |     437
    250000 | 0.243 | 0.407 | 2000000 |   0.0444 |  1721559 |     434
    260000 | 0.242 | 0.408 | 2000000 |   0.0443 |  1790434 |     431
    270000 | 0.242 | 0.408 | 2000000 |   0.0439 |  1859301 |     435
    280000 | 0.242 | 0.408 | 2000000 |   0.0440 |  1928172 |     434
    290000 | 0.241 | 0.409 | 2000000 |   0.0435 |  1997020 |     437
    300000 | 0.241 | 0.409 | 2000000 |   0.0437 |  2065904 |     437
    310000 | 0.241 | 0.409 | 2000000 |   0.0435 |  2134780 |     445
